,isomorphic_hash,number_of_nodes,number_of_edges,is_strongly_connected,is_prime,adj_,DiGraph
65,c3639131a197f9eb2c0a6026404816b4,4,8,True,False,"{0: [3], 1: [2, 3], 2: [0, 1, 3], 3: [0, 1]}","Printing the out edges chart for 
0: [3]
1: [2, 3]
2: [0, 1, 3]
3: [0, 1]
"
66,3b12fcc31d133116024792060720b4d8,4,9,True,False,"{0: [3], 1: [0, 2, 3], 2: [0, 1, 3], 3: [1, 2]}","Printing the out edges chart for 
0: [3]
1: [0, 2, 3]
2: [0, 1, 3]
3: [1, 2]
"
67,0ab72850f6b2fb7bebfc221611eafb3d,4,9,True,False,"{0: [3], 1: [0, 2, 3], 2: [0, 1, 3], 3: [0, 2]}","Printing the out edges chart for 
0: [3]
1: [0, 2, 3]
2: [0, 1, 3]
3: [0, 2]
"
68,f6f060d8953f8b928bc688a10bc93488,4,10,True,False,"{0: [1, 3], 1: [2, 3], 2: [0, 1, 3], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [1, 3]
1: [2, 3]
2: [0, 1, 3]
3: [0, 1, 2]
"
69,f2c715ea817af8f999475d43d0b721ed,4,9,True,False,"{0: [3, 1], 1: [2, 3], 2: [1, 3], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3, 1]
1: [2, 3]
2: [1, 3]
3: [0, 1, 2]
"
70,3d610bff0a3228fa0d158dd8865b3fa5,4,8,True,False,"{0: [1, 3], 1: [2, 3], 2: [1, 3], 3: [0, 2]}","Printing the out edges chart for 
0: [1, 3]
1: [2, 3]
2: [1, 3]
3: [0, 2]
"
71,63ee89b67873402fa6622a91eecf7934,4,8,True,False,"{0: [1, 3], 1: [2, 3], 2: [1, 3], 3: [0, 1]}","Printing the out edges chart for 
0: [1, 3]
1: [2, 3]
2: [1, 3]
3: [0, 1]
"
72,1e08a340b148de5140b1fae019df0b8a,4,9,True,False,"{0: [3, 1], 1: [2, 3], 2: [0, 3], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3, 1]
1: [2, 3]
2: [0, 3]
3: [0, 1, 2]
"
73,7df75949f71f6b1b921f267b316967bf,4,8,True,False,"{0: [1, 3], 1: [2, 3], 2: [0, 3], 3: [1, 2]}","Printing the out edges chart for 
0: [1, 3]
1: [2, 3]
2: [0, 3]
3: [1, 2]
"
74,6fbfd4e38ee65ac14509845bea217557,4,9,True,False,"{0: [3, 1], 1: [2, 3], 2: [0, 1], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3, 1]
1: [2, 3]
2: [0, 1]
3: [0, 1, 2]
"
75,3cfb45acfe5391aa1204977bbbd36632,4,8,True,False,"{0: [1, 3], 1: [2, 3], 2: [0, 1], 3: [0, 2]}","Printing the out edges chart for 
0: [1, 3]
1: [2, 3]
2: [0, 1]
3: [0, 2]
"
76,8ffd6141cd9b3335336d02179fc38165,4,9,True,False,"{0: [3, 1], 1: [2, 3], 2: [0, 1, 3], 3: [1, 2]}","Printing the out edges chart for 
0: [3, 1]
1: [2, 3]
2: [0, 1, 3]
3: [1, 2]
"
77,6f02a07d810b0dfe0edea79f6ee6de34,4,9,True,False,"{0: [3, 1], 1: [2, 3], 2: [0, 1, 3], 3: [0, 1]}","Printing the out edges chart for 
0: [3, 1]
1: [2, 3]
2: [0, 1, 3]
3: [0, 1]
"
78,fb13ebc65f2565498738e5978f0e323e,4,10,True,False,"{0: [1, 3], 1: [0, 3], 2: [0, 1, 3], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [1, 3]
1: [0, 3]
2: [0, 1, 3]
3: [0, 1, 2]
"
79,947938d0e74e1b91ad57a752d1784677,4,10,True,False,"{0: [1, 3], 1: [0, 2], 2: [0, 1, 3], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [1, 3]
1: [0, 2]
2: [0, 1, 3]
3: [0, 1, 2]
"
80,97d8faca3d73b82073af697301009be0,4,9,True,False,"{0: [3, 1], 1: [0, 2], 2: [1, 3], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3, 1]
1: [0, 2]
2: [1, 3]
3: [0, 1, 2]
"
81,3cfb45acfe5391aa1204977bbbd36632,4,8,True,False,"{0: [1, 3], 1: [0, 2], 2: [1, 3], 3: [0, 2]}","Printing the out edges chart for 
0: [1, 3]
1: [0, 2]
2: [1, 3]
3: [0, 2]
"
82,6668c009cf761725b715f54fd9bd10eb,4,10,True,False,"{0: [1, 3], 1: [0, 2, 3], 2: [1, 3], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [1, 3]
1: [0, 2, 3]
2: [1, 3]
3: [0, 1, 2]
"
